State_Code,State,District,Confirmed,Active,Recovered,Deceased,"Sex ratio of the total population (females per 1,000 males)",Women whose Body Mass Index (BMI) is below normal (BMI < 18.5 kg/m2)14 (%),Men whose Body Mass Index (BMI) is below normal (BMI < 18.5 kg/m2) (%),Women who are overweight or obese (BMI ≥ 25.0 kg/m2)14 (%),Men who are overweight or obese (BMI ≥ 25.0 kg/m2) (%),All women age 15-49 years who are anaemic (%),Men age 15-49 years who are anaemic (<13.0 g/dl) (%),Women Blood sugar level - high (>140 mg/dl) (%),Men Blood sugar level - high (>140 mg/dl) (%),Women Very high (Systolic ≥180 mm of Hg and/or Diastolic ≥110 mm of Hg) (%),Men Very high (Systolic ≥180 mm of Hg and/or Diastolic ≥110 mm of Hg) (%)
JH,Jharkhand,Giridih,1218,161,1051,6,1083,34.6,19,7,10.8,68.5,27.3,3.8,5.5,0.4,0
HR,Haryana,Mahendragarh,1216,368,847,1,876,19.2,14.7,14.4,11.9,63.5,34.1,2.8,4.3,0.4,0.4
PB,Punjab,Gurdaspur,1215,301,884,30,898,11.3,20.1,31.6,22.1,54.3,27.6,7.5,5.3,0.3,0.7
KL,Kerala,Wayanad,1194,336,855,3,1065,12.2,5.6,24.4,34.6,32.3,12.1,11.9,20.5,0,1.6
MP,Madhya Pradesh,Khargone (West Nimar),1166,218,925,23,964,36.8,29,11.3,11.7,57.8,28.4,4.7,4.5,1,0.9
UP,Uttar Pradesh,Bijnor,1157,286,858,13,1025,24.7,29.2,20.1,9.8,58.2,24.7,5.6,11,0.4,0.6
UP,Uttar Pradesh,Sonbhadra,1154,367,780,7,936,24.6,28.5,13.2,6.9,60.5,37.4,4.1,5.7,0,1.3
JH,Jharkhand,Palamu,1141,381,756,4,998,30.5,28.7,11.6,12.7,53.6,23.9,3.1,4.8,1.2,1.8
UP,Uttar Pradesh,Pratapgarh,1139,451,667,21,1122,28.1,21.9,12,10.1,51.4,23.6,2.7,7.1,0.2,0.9
UP,Uttar Pradesh,Mainpuri,1129,206,904,19,983,21.4,24.7,14.3,9.7,27,12.5,2.9,4.8,0.8,1.5
JH,Jharkhand,Hazaribagh,1127,323,788,16,1004,32.4,21.5,9.5,12.1,60.8,17.9,4.2,9.7,0.5,0
AS,Assam,Barpeta,1121,96,1024,1,982,26.5,29.8,12,14.3,35.5,18.7,5.4,6.3,1.5,1.5
AS,Assam,Bongaigaon,1113,277,834,2,951,19.2,10.7,13.4,18.7,48,23.4,4.1,5.9,1.2,0.7
CT,Chhattisgarh,Bilaspur,1107,302,797,8,1013,13.5,15,10,10.3,39.1,24.5,3.3,4.7,0.6,0.5
TN,Tamil Nadu,Karur,1094,294,778,22,1056,14.9,15.3,31.4,26.8,56,17.5,7.7,14.6,0.6,2.4
PB,Punjab,Firozpur,1092,590,485,17,890,13.7,7.1,27.5,25.1,57,20.6,8.2,13.4,0.4,2.2
TN,Tamil Nadu,The Nilgiris,1089,133,952,4,1056,12.7,9.7,23.2,16.5,50.7,28.6,6.8,10.6,1.4,0
MH,Maharashtra,Chandrapur,1081,415,657,9,961,29.9,29.7,12.2,17.4,48.7,15.9,4.1,7.6,0.3,1.7
AR,Arunachal Pradesh,Papumpare,1075,139,935,1,978,9.5,10.5,26.5,27.3,44,15.2,4.6,6.2,2.5,1.8
UP,Uttar Pradesh,Firozabad,1073,188,841,44,961,21.8,24,15.6,11.8,34.1,16,4,6.3,0.4,0.8
RJ,Rajasthan,Sirohi,1069,90,968,11,999,34.2,23.7,10.1,9.6,59.8,41.2,3,4.6,0.4,0
GJ,Gujarat,Surendranagar,1069,342,717,10,954,25.7,24.3,20.6,18.2,61.5,25,5,4.6,0.6,0.9
BR,Bihar,Arwal,1068,278,785,5,1145,30.8,28.2,7.8,6.8,57.4,33.1,4.3,7.6,0.2,0.7
BR,Bihar,Kaimur (Bhabua),1050,223,818,9,1027,28.6,26.6,13.7,15.5,57.8,15.7,6.3,5.9,0.2,0
TN,Tamil Nadu,Dharmapuri,1046,184,851,11,1018,15.7,9.3,25.4,22.3,59.1,25.6,8.2,7.5,0.7,2.1
MH,Maharashtra,Hingoli,1042,254,764,24,1002,29,24.5,13.9,7.4,42,13.4,4.4,6.9,0.4,1.2
LA,Ladakh,Kargil,1028,248,770,10,970,15.6,13.9,13.6,10.9,29.7,4.1,1,2.1,0.5,0.2
AS,Assam,Karimganj,1025,59,955,11,986,30.3,23.8,10.5,11.8,42.2,18.1,5.3,4,0.8,4.2
UP,Uttar Pradesh,Rae Bareli,1023,300,703,20,1049,25.4,32,11,7,46.6,24.7,2.6,4.4,0.4,0
SK,Sikkim,East,1020,352,666,2,957,7.9,2.4,30.8,36.8,34.4,13.1,7.4,8.2,2.2,3.8
OR,Odisha,Balangir,1011,375,635,1,1033,31.8,20.6,10.9,11.4,61.1,37.1,6.6,9.6,0.3,0.8
HR,Haryana,Jhajjar,1011,88,909,14,894,12.4,12.1,21.6,14.4,61.1,18.3,5.2,5.2,0.7,0.7
HR,Haryana,Kurukshetra,1011,374,620,17,892,9.2,3.9,19.6,18.8,54.6,25.9,2.9,4.9,0.3,0.6
TN,Tamil Nadu,Perambalur,1010,216,781,13,1131,17.1,18.8,27.8,21.7,59.3,21.2,8.6,14.2,0.7,2.3
OR,Odisha,Bargarh,1001,376,620,5,1020,31.1,13.8,14.5,17.3,68.5,35,5.4,9.2,1,0
GJ,Gujarat,Panchmahal,996,420,560,16,1064,46.7,37.2,10.1,12.8,50.4,18.1,5.7,5.8,0.7,1.1
KA,Karnataka,Kodagu,993,328,653,12,1114,19.6,23.1,26.2,24.2,37.2,10.6,7.6,7.2,1.7,0.9
MP,Madhya Pradesh,Barwani,988,126,852,10,1009,40.8,39.7,10.8,9.9,65.8,44.1,5.7,6.3,0.4,0
JK,Jammu and Kashmir,Ganderbal,987,463,510,14,969,9,11.5,33.8,18.4,42.4,14,5.6,5.7,0.9,1.2
OR,Odisha,Dhenkanal,984,333,650,1,1026,25.6,23.3,18.8,16.2,39.4,31.3,8.7,16.3,0.3,0
LA,Ladakh,Leh(Ladakh),982,350,625,7,1035,5.2,7.5,19.2,29.8,33.6,5.1,2.1,1.8,0.5,2.2
HP,Himachal Pradesh,Solan,982,313,641,1,931,15.5,24.5,32.7,18.4,67.5,27.6,5.7,8.7,0.9,1.1
